normalized_filer_name,raw_filer_name,filer_id,quarantine_reason,row_count,total_dollars,min_txn_date,max_txn_date,cover_elect_date,cover_from_date,cover_thru_date,cover_form_types,rcpt_form_types,top_contributors_by_dollars,sample_filing_ids,reviewer_classification,reviewer_target_campaign_id,reviewer_notes
"protect prop. 13, a project of the howard jarvis taxpayers association","PROTECT PROP. 13, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",931447,ambiguous_year,13,4863210.09,2025-11-10,2025-12-31,,10/1/2025 12:00:00 AM,12/31/2025 12:00:00 AM,F460=13,C=13,"CALIFORNIANS TO RESTORE LOCAL TAXPAYERS' RIGHT TO VOTE ON TAXES, SPONSORED BY HOMEOWNERS, BUSINESSES, AND TAXPAYERS ($4,863,210)","3106335, 3106335, 3106335, 3106335, 3106335",,,
"taxpayers for accountability & better schools(tabs), yes on prop. 39,a coaltn. of teachers,parents,seniors,taxpayers&business","TAXPAYERS FOR ACCOUNTABILITY & BETTER SCHOOLS(TABS), YES ON PROP. 39,A COALTN. OF TEACHERS,PARENTS,SENIORS,TAXPAYERS&BUSINESS",1222562,ambiguous_year,10,1322535.24,2002-02-19,2002-05-09,,1/1/2002 12:00:00 AM,6/30/2002 12:00:00 AM,F460=10,C=10,"KHOSLA, VINOD ($1,148,093); REED HASTINGS ($174,442)","855266, 855266, 855266, 855266, 855266",,,
"affordable housing now - yes on props 1&2 coalition: housing california, california housing consortium, state building and construction trades council of california and silicon valley leadership group","Affordable Housing Now - Yes on Props 1&2 coalition: Housing California, California Housing Consortium, State Building and Construction Trades Council of California and Silicon Valley Leadership Group",1401697,ambiguous_year,475,703844.07,2018-01-31,2018-11-15,,4/1/2018 12:00:00 AM,6/30/2018 12:00:00 AM,F460=475,C=475,"No on Prop 10; Californians for Responsible Housing ($282,731); NPH Action Fund, a Project of The Advocacy Fund ($81,399); California Democratic Party ($81,089); Silicon Valley Leadership Group ($72,399); Housing California ($60,806)","2277225, 2277225, 2277225, 2277225, 2277225",,,
"no on 1a, a coalition of teachers, faculty, nurses, health care providers, seniors and public employees fighting for real budget reform","No on 1A, a coalition of teachers, faculty, nurses, health care providers, seniors and public employees fighting for real budget reform",1317763,ambiguous_year,10,286500.9,2009-05-03,2009-05-21,,5/3/2009 12:00:00 AM,6/30/2009 12:00:00 AM,F460=10,C=10,"California State Council of Service Employees ($143,536); California Faculty Association ($131,500); California State Council of Service Employees Issues Committee ($8,000); California Federation of Teachers, AFT, AFL-CIO CFT COPE Prop / Ballot Committee ($3,465)","1434759, 1434759, 1434759, 1434759, 1434759",,,
"yes on 1a and 1b, repay and protect our schools: a coalition of california teachers association issues pac and national education association committees.","Yes on 1A and 1B, Repay and Protect our Schools: a Coalition of California Teachers Association Issues PAC and National Education Association Committees.",1316255,ambiguous_year,9,153547.35,2009-05-04,2009-05-19,,5/3/2009 12:00:00 AM,6/30/2009 12:00:00 AM,F460=9,C=9,"California Teachers Association Issues PAC ($126,343); California Teachers Association ($13,707); National Education Association ($10,888); Budget Reform Now, a coalition of taxpayers, business, labor, educators, public safety, seniors, Jerry Perenchio ($2,609)","1438275, 1438275, 1438275, 1438275, 1438275",,,
"californians for high speed trains-yes on proposition 1a-a coalition of taxpayer, business, environmental and labor groups and people from across california tired of being stuck in traffic","Californians for High Speed Trains-Yes on Proposition 1A-A Coalition of Taxpayer, Business, Environmental and Labor Groups and People from Across California Tired of Being Stuck In Traffic",1305068,ambiguous_year,7,102175.35,2008-10-21,2008-11-02,,10/19/2008 12:00:00 AM,12/31/2008 12:00:00 AM,F460=7,C=7,"Professional Engineers in California Government ($83,493); California Alliance for Jobs Rebuild California Committee ($16,500); Unity PAC, A Sponsored Committe of the Central Labor Council o Alameda County, AFL-CIO ($1,078); Segal, Lynne Newhouse ($671); Rodman Consulting, LLC ($362)","1397034, 1397034, 1397034, 1397034, 1397034",,,
the cruz bustamante committee against prop. 54,The Cruz Bustamante Committee Against Prop. 54,1258137,ambiguous_year,4,17349.04,2005-05-04,2007-03-12,,1/1/2005 12:00:00 AM,6/30/2005 12:00:00 AM,F460=4,C=4,"Cruz 2006 ($15,349); Garcia, Steve ($2,000)","1118936, 1284143, 1237287, 1237287",,,
"yes on 46, a coalition of teachers, homebuilders, labor, lenders, realtors, john burton, businesses and other supporters of emergency shelter and affordable housing","Yes on 46, a coalition of teachers, homebuilders, labor, lenders, realtors, John Burton, businesses and other supporters of emergency shelter and affordable housing",1244196,ambiguous_year,1,13908.7,2004-10-04,2004-10-04,,7/1/2004 12:00:00 AM,10/31/2004 12:00:00 AM,F460=1,C=1,"Californians for Housing ($13,909)",1078484,,,
"californians against special interests supported by citizens power campaign, w.e. bloomfield, l.t. smith, f.e. baxter, t. draper, b.w. hughes, lincoln club of o.c., protect prop. 13 & r.j. rirordan","CALIFORNIANS AGAINST SPECIAL INTERESTS SUPPORTED BY CITIZENS POWER CAMPAIGN, W.E. BLOOMFIELD, L.T. SMITH, F.E. BAXTER, T. DRAPER, B.W. HUGHES, LINCOLN CLUB OF O.C., PROTECT PROP. 13 & R.J. RIRORDAN",1337891,ambiguous_year,5,13305.18,2011-07-06,2011-09-15,,7/1/2011 12:00:00 AM,9/30/2011 12:00:00 AM,F460=5,C=5,"Paycheck Protection 2010 ($11,000); Arnel Development Company, George Argyros and affiliated entities ($1,320); Loewen, Robert W. ($809); Lincoln Club Of Orange County ($176)","1624174, 1624174, 1624174, 1624174, 1624174",,,
"yes on prop 61, californians for lower drug prices, with major funding by aids healthcare foundation and california nurses association pac","YES ON PROP 61, CALIFORNIANS FOR LOWER DRUG PRICES, WITH MAJOR FUNDING BY AIDS HEALTHCARE FOUNDATION AND CALIFORNIA NURSES ASSOCIATION PAC",1376791,ambiguous_year,9,8892.18,2018-03-26,2019-04-30,,1/1/2019 12:00:00 AM,6/30/2019 12:00:00 AM,F460=9,C=9,"AIDS HEALTHCARE FOUNDATION ($8,892)","2396648, 2396648, 2350577, 2350577, 2350577",,,
"californians against special interests supported by citizens power campaign, l smith, w bloomfield, c munger jr, oc lincoln club, f baxter, t draper, w edwards, d hughes, protect prop. 13 & r rirordan","CALIFORNIANS AGAINST SPECIAL INTERESTS SUPPORTED BY CITIZENS POWER CAMPAIGN, L SMITH, W BLOOMFIELD, C MUNGER JR, OC LINCOLN CLUB, F BAXTER, T DRAPER, W EDWARDS, D HUGHES, PROTECT PROP. 13 & R RIRORDAN",1337891,ambiguous_year,2,7349.0,2011-11-17,2011-11-25,11/6/2012 12:00:00 AM,10/1/2011 12:00:00 AM,12/31/2011 12:00:00 AM,F460=2,C=2,"Singer, Frank ($7,349)","1627822, 1627822",,,
stop prop 1 - a committee in opposition to proposition 1,STOP PROP 1 - A COMMITTEE IN OPPOSITION TO PROPOSITION 1,1453107,ambiguous_year,2,6957.64,2023-03-13,2023-03-13,,1/1/2023 12:00:00 AM,3/13/2023 12:00:00 AM,F460=2,C=2,"ENGLAND, KAREN ($3,479); GLEASON, GINA ($3,479)","2796869, 2796869",,,
california cable & telecommunications association non-prop 34 committee,California Cable & Telecommunications Association Non-Prop 34 Committee,1234155,ambiguous_year,77,6182.98,2002-09-30,2022-12-31,11/5/2002 12:00:00 AM,7/1/2002 12:00:00 AM,9/30/2002 12:00:00 AM,F460=77,C=77,"California Cable & Telecommunications Assn. ($6,064); California Cable & Telecommunications Assn. Non-Prop 34 Committee ($119)","870733, 876876, 905766, 946147, 963455",,,
"yes on 35 - protect our healthcare, a coalition of first responders, healthcare workers, doctors, non-profit community health centers and hospitals","YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",1462573,ambiguous_year,1,4125.5,2026-02-05,2026-02-05,,1/1/2026 12:00:00 AM,2/11/2026 12:00:00 AM,F460=1,C=1,"PROTECT OUR HEALTHCARE ($4,126)",3120753,,,
"yes on 29, american cancer society cancer action network inc. and american cancer society inc. ballot committee","Yes on 29, American Cancer Society Cancer Action Network Inc. and American Cancer Society Inc. Ballot Committee",1326622,ambiguous_year,5,2162.15,2014-02-07,2014-02-07,,1/1/2014 12:00:00 AM,2/12/2014 12:00:00 AM,F460=5,C=5,"American Cancer Society Cancer Action Network, Inc. ($2,162)","1827377, 1827377, 1827377, 1827377, 1827377",,,
"yes on 37 for your right to know if your food has been genetically engineered. supported by consumer advocates, makers of organic products and california farmers","Yes on 37 For Your Right to Know if Your Food Has Been Genetically Engineered.  Supported by Consumer Advocates, Makers of Organic Products and California Farmers",1342851,ambiguous_year,2,1535.88,2014-03-03,2014-03-03,,1/1/2014 12:00:00 AM,6/30/2014 12:00:00 AM,F460=2,C=2,"Food Democracy Action! ($1,536)","1870535, 1870535",,,
"public health warning: no on 64, a coalition of environmental, public health and consumer groups, registered nurses, and environmental and consumer attorneys","Public Health Warning: No on 64, a Coalition of Environmental, Public Health and Consumer Groups, Registered Nurses, and Environmental and Consumer Attorneys",1270479,ambiguous_year,3,1457.15,2008-04-09,2008-12-29,,1/1/2008 12:00:00 AM,6/30/2008 12:00:00 AM,F460=3,C=3,"Consumer Attorneys of California ($1,457)","1351666, 1351666, 1398138",,,
"yes on prop 12: prevent cruelty california, a humane society committee","Yes on Prop 12: Prevent Cruelty California, a Humane Society Committee",1399103,ambiguous_year,3,1400.0,2022-01-12,2022-03-07,,1/1/2022 12:00:00 AM,6/30/2022 12:00:00 AM,F460=3,C=3,"S.E. Owens & Company ($1,400)","2704589, 2704589, 2704589",,,
"green technology leadership group pac, no on prop 23","Green Technology Leadership Group PAC, No On Prop 23",1332395,ambiguous_year,2,365.09,2012-06-30,2012-12-31,,7/1/2012 12:00:00 AM,12/31/2012 12:00:00 AM,F460=2,C=2,Green Technology Leadership Group ($365),"1724124, 1680609",,,
"california counties united, yes on 1a, sponsored by the california state association of counties","CALIFORNIA COUNTIES UNITED, YES ON 1A, SPONSORED BY THE CALIFORNIA STATE ASSOCIATION OF COUNTIES",1265377,ambiguous_year,1,347.0,2005-02-14,2005-02-14,,1/1/2005 12:00:00 AM,6/30/2005 12:00:00 AM,F460=1,C=1,CALIFORNIA STATE ASSOCIATION OF COUNTIES   (NON-PUBLIC FUNDS) ($347),1118422,,,
"yes on proposition 31, committee to protect california kids sponsored by nonprofit health organizations","Yes On Proposition 31, Committee to Protect California Kids sponsored by Nonprofit Health Organizations",1436431,ambiguous_year,1,288.44,2024-06-12,2024-06-12,,1/1/2024 12:00:00 AM,6/30/2024 12:00:00 AM,F460=1,C=1,"Gipson, Paulette ($288)",2933461,,,
citizens for a more liveable california - yes on 1a & 1b,Citizens for a More Liveable California - Yes on 1A & 1B,1290482,ambiguous_year,1,284.74,2007-08-20,2007-08-20,,7/1/2007 12:00:00 AM,9/10/2007 12:00:00 AM,F460=1,C=1,Arnel Development Company ($285),1290943,,,
"los angeles county federation of labor afl-cio, yes on 24 and 25","Los Angeles County Federation of Labor AFL-CIO, Yes on 24 and 25",1332721,ambiguous_year,2,202.47,2012-02-14,2012-02-14,,1/1/2012 12:00:00 AM,2/14/2012 12:00:00 AM,F460=2,C=2,"L.A. County Federation of Labor, AFL-CIO ($202)","1643126, 1643126",,,
california cable television assn. non-prop 34 committee,California Cable Television Assn. Non-Prop 34 Committee,1234155,ambiguous_year,2,123.0,2002-02-15,2002-06-30,3/5/2002 12:00:00 AM,1/1/2002 12:00:00 AM,2/16/2002 12:00:00 AM,F460=2,C=2,California Cable Television Assn. ($123),"820997, 854461",,,
