normalized_filer_name,raw_filer_name,filer_id,quarantine_reason,row_count,total_dollars,min_txn_date,max_txn_date,cover_elect_date,cover_from_date,cover_thru_date,cover_form_types,rcpt_form_types,top_contributors_by_dollars,sample_filing_ids,reviewer_classification,reviewer_target_campaign_id,reviewer_notes
california teachers association/issues pac,California Teachers Association/Issues PAC,880873,filer_name_no_prop,513,16821503.74,2000-01-04,2025-12-31,3/7/2000 12:00:00 AM,1/1/2000 12:00:00 AM,1/22/2000 12:00:00 AM,F460=513,C=513,"California Teachers Association ($16,712,371); National Education Association ($89,692); United Teachers of Los Angeles ($18,491); California Teachers Assoc. ($950)","578295, 578295, 578295, 578295, 578295",,,
"californians for responsible healthcare, sponsored by service employees international union - united healthcare workers west","Californians for Responsible Healthcare, Sponsored by Service Employees International Union - United Healthcare Workers West",1483073,filer_name_no_prop,15,13973828.04,2025-09-18,2026-03-10,,1/1/2025 12:00:00 AM,12/31/2025 12:00:00 AM,F460=15,C=15,"SEIU United Health Care Workers West  Political Issues Committee ($13,973,828)","3115276, 3115276, 3115276, 3115276, 3115276",,,
"save california health care and public education, sponsored by service employees international union - united healthcare workers west","Save California Health Care and Public Education, Sponsored by Service Employees International Union - United Healthcare Workers West",1484470,filer_name_no_prop,30,8684063.39,2025-12-03,2026-03-31,,1/1/2025 12:00:00 AM,12/31/2025 12:00:00 AM,F460=30,C=30,"SEIU United Health Care Workers West  Political Issues Committee ($7,290,902); Service Employees International Union, United Healthcare Workers West Nonprofit 501(c)(5) ($1,393,161)","3115278, 3115278, 3115278, 3115278, 3146612",,,
californians for financial education,Californians for Financial Education,1463027,filer_name_no_prop,5,7628781.67,2023-10-31,2025-09-17,,1/1/2023 12:00:00 AM,12/31/2023 12:00:00 AM,F460=5,C=5,"Ranzetta, Timothy ($7,628,782)","2883609, 2883609, 2883609, 2909775, 3092356",,,
hold politicians accountable,HOLD POLITICIANS ACCOUNTABLE,1381029,filer_name_no_prop,5,6610625.0,2015-12-07,2016-03-30,,1/1/2016 12:00:00 AM,3/31/2016 12:00:00 AM,F460=5,C=5,"MUNGER, CHARLES T. ($6,610,625)","2038240, 2038240, 2038240, 2012870, 2012870",,,
spirit of democracy california,Spirit of Democracy California,1346379,filer_name_no_prop,36,6154234.57,2014-03-19,2021-05-26,,5/18/2014 12:00:00 AM,6/30/2014 12:00:00 AM,F460=36,C=36,"Munger, Jr., Charles ($6,061,897); JobsPAC ($23,750); FairPAC Independent Expenditure Committee ($23,400); Civil Justice Association of California ($18,425); California Republican Party ($14,000)","1870923, 1853011, 1853011, 1853011, 1853011",,,
democratic state central committee of ca,Democratic State Central Committee of CA,741666,filer_name_no_prop,577,4731303.23,2000-01-08,2014-06-23,3/7/2000 12:00:00 AM,1/1/2000 12:00:00 AM,1/22/2000 12:00:00 AM,F460=577,C=577,"AT&T Inc. and its Affiliates ($449,514); AT & T Corporation ($447,718); AT & T Inc. and its Affiliates ($398,914); SEIU Local 1000, CA State Employees Assn Issues PAC ($363,764); CA Professional Firefighters -Ballot Issues PAC ($352,736)","578245, 578245, 578245, 578245, 578245",,,
"alliance for a better california, educators, firefighters, school employees, health care givers and labor organizations","Alliance for a Better California, educators, firefighters, school employees, health care givers and labor organizations",1273998,filer_name_no_prop,407,4505319.75,2005-01-14,2006-11-08,,1/1/2005 12:00:00 AM,3/31/2005 12:00:00 AM,F460=407,C=407,"California Teachers Association - Issues PAC ($1,339,756); California State Council of Service Employees Issues Committee ($670,123); SEIU United Healthcare Workers - West ($666,817); CA School Employees Association ($616,911); California Professional Firefighters - Ballot Issues Committee ($191,499)","1105724, 1105724, 1105724, 1105724, 1105724",,,
stop the republican recall of governor newsom,Stop the Republican Recall of Governor Newsom,1436851,filer_name_no_prop,269,4010038.67,2021-03-15,2021-09-15,,1/1/2021 12:00:00 AM,3/31/2021 12:00:00 AM,F460=269,C=269,"California Democratic Party ($1,439,631); SEIU COPE (Service Employees International Union COPE) (Fed PAC ID #C00004036) ($1,019,403); California League of Conservation Voters - Independent Expenditure Committee ($260,000); Courage California Issues ($221,430); California Alliance, A Coalition of Consumer Attorneys, Conservationists and Food and Commercial Workers ($125,000)","2581095, 2581095, 2581095, 2581095, 2581095",,,
"protect voters first, sponsored by hold politicians accountable","PROTECT VOTERS FIRST, SPONSORED BY HOLD POLITICIANS ACCOUNTABLE",1381029,filer_name_no_prop,1,3752800.0,2025-12-23,2025-12-23,,10/19/2025 12:00:00 AM,12/31/2025 12:00:00 AM,F460=1,C=1,"MUNGER, JR., CHARLES T. ($3,752,800)",3111717,,,
