finance_campaign_id,prop_num,election_year,election_month,measure_db_id,measure_id,status,match_via,csv_row_count,csv_total_amount,notes
PROP_0_2000,0,2000,,,,missing,,13,2797.28,no measures-DB record
PROP_12_2000,12,2000,,1117,CA1095,matched,title_short,1333,20129623.36,
PROP_13_2000,13,2000,,1119,CA1097,matched,title_short,859,3649736.44,
PROP_14_2000,14,2000,,1111,CA1089,matched,title_short,138,178398.0,
PROP_15_2000,15,2000,,1103,CA1081,matched,title_short,42,126750.0,
PROP_1A_2000,1A,2000,,1118,CA1096,matched,title_short,161,28818417.09,
PROP_21_2000,21,2000,,1115,CA1093,matched,title_short,327,274001.48,
PROP_22_2000,22,2000,,1114,CA1092,matched,title_short,86041,37016175.25,
PROP_23_2000,23,2000,,1100,CA1078,matched,title_short,1,40000.0,
PROP_25_2000,25,2000,,1099,CA1077,matched,title_short,21,1462756.24,
PROP_26_2000,26,2000,,1105,CA1083,matched,title_short,3373,22297600.49,
PROP_28_2000,28,2000,,1095,CA1073,matched,title_short,402,13996575.62,
PROP_30_2000,30,2000,,1098,CA1076,matched,title_short,9121,13077866.83,
PROP_33_2000,33,2000,,1101,CA1079,matched,title_short,3,4000.0,
PROP_34_2000,34,2000,,1112,CA1090,matched,title_short,119,341521.53,
PROP_35_2000,35,2000,,1109,CA1087,matched,title_short,40632,47977354.62,
PROP_36_2000,36,2000,,1113,CA1091,matched,title_short,56,553906.5,
PROP_37_2000,37,2000,,1104,CA1082,matched,title_short,147,4450636.06,
PROP_38_2000,38,2000,,1097,CA1075,matched,title_short,3908,233379191.3,
PROP_39_2000,39,2000,,1106,CA1084,matched,title_short,22628,5500770.55,
PROP_1_2001,1,2001,,,,missing,,9,129500.0,no measures-DB record
PROP_0_2002,0,2002,,,,missing,,21,213.15,no measures-DB record
PROP_39_2002,39,2002,,1106,CA1084,matched,year_offset_2_title_short,17,1002082.53,recovered via 2-year lookback: CalAccess year is 2y after the actual election year
PROP_40_2002,40,2002,,1129,CA1107,matched,title_short,678,25705296.95,
PROP_41_2002,41,2002,,1126,CA1104,matched,title_short,9,162003.09,
PROP_42_2002,42,2002,,1132,CA1110,matched,title_short,1053,8175638.36,
