source,year,election,measure_text,pdf_url,summary_title,summary_text,has_summary,data_source,description,measure_id,percent_yes,passed,measure_type,topic,decade,century,unified_id
CA SOS,2026.0,"November 3, 2026, Statewide Ballot Measures","ACA 13 (Ward) Voting thresholds. (Res. Ch. 176, 2023)",https://elections.cdn.sos.ca.gov/ballot-measures/pdf/aca-13.pdf,Protect and Retain the Majority Vote Act,"Would require that ballot measures proposing to increase voting thresholds for future measures must themselves pass by the same increased threshold they seek to impose. Currently, a simple majority can pass a measure requiring supermajority votes for future actions, giving disproportionate power to a minority of voters. The measure aims to prevent abuse of the initiative process and protect local control by ensuring that statewide voters cannot easily override local decision-making with artificially high voting requirements.",True,CA_SOS_Scraper,,,,,,,2020.0,21.0,
CA SOS,2026.0,"November 3, 2026, Statewide Ballot Measures","Assembly Bill 440, Chapter 82, Statutes of 2024",https://elections.cdn.sos.ca.gov/ballot-measures/pdf/ab440.pdf,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
CA SOS,2026.0,"November 3, 2026, Statewide Ballot Measures","SCA 1 (Newman) Elections: recall of state officers. (Res. Ch. 204, 2024)",https://elections.cdn.sos.ca.gov/ballot-measures/pdf/sca-1-24.pdf,Recall Process Reform,"Would reform California's recall process by eliminating the simultaneous successor election that currently appears on recall ballots. Under the current system, voters decide both whether to recall an officer and who should replace them, allowing a replacement to be chosen by a slim plurality rather than majority support. If adopted, when a state officer is recalled, the office would be filled according to existing constitutional succession rules (such as the Lieutenant Governor becoming Governor), removing what supporters call political gamesmanship from the recall process.",True,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,"Proposition Item 10: INCREASES FUNDING SOURCES FOR PUBLIC SCHOOLS, COMMUNITY COLLEGES, AND LOCAL GOVERNMENT SERVICES BY CHANGING TAX ASSESSMENT OF COMMERCIAL AND INDUSTRIAL PROPERTY. INITIATIVE CONSTITUTIONAL AMENDMENT",https://repository.uclawsf.edu/ca_ballot_props/1384,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 11: REFERENDUM ON LAW THAT REPLACED MONEY BAIL WITH SYSTEM BASED ON PUBLIC SAFETY AND FLIGHT RISK,https://repository.uclawsf.edu/ca_ballot_props/1388,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 12: RESTORES RIGHT TO VOTE AFTER COMPLETION OF PRISON TERM. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,https://repository.uclawsf.edu/ca_ballot_props/1382,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 13: RESTRICTS PAROLE FOR CERTAIN OFFENSES CURRENTLY CONSIDERED TO BE NON-VIOLENT. AUTHORIZES FELONY SENTENCES FOR CERTAIN OFFENSES CURRENTLY TREATED ONLY AS MISDEMEANORS. INITIATIVE STATUTE.,https://repository.uclawsf.edu/ca_ballot_props/1385,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,"Proposition Item 1: ALLOWS DIVERSITY AS A FACTOR IN PUBLIC EMPLOYMENT, EDUCATION, AND CONTRACTING DECISIONS. LEGISLATIVE CONSTITUTIONAL AMENDMENT",https://repository.uclawsf.edu/ca_ballot_props/1383,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 2: AMENDS CALIFORNIA CONSTITUTION TO PERMIT 17-YEAR-OLDS TO VOTE IN PRIMARY AND SPECIAL ELECTIONS IF THEY WILL TURN 18 BY THE NEXT GENERAL ELECTION AND BE OTHERWISE ELIGIBLE TO VOTE. LEGISLATIVE CONSTITUTIONAL AMENDMENT,https://repository.uclawsf.edu/ca_ballot_props/1387,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 3: AMENDS CONSUMER PRIVACY LAWS. INITIATIVE STATUTE,https://repository.uclawsf.edu/ca_ballot_props/1389,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,"Proposition Item 4: AUTHORIZES BONDS FOR FACILITY REPAIR, CONSTRUCTION, AND MODERNIZATION AT PUBLIC PRESCHOOLS, K–12 SCHOOLS, COMMUNITY COLLEGES, AND UNIVERSITIES. LEGISLATIVE STATUTE.",https://repository.uclawsf.edu/ca_ballot_props/1380,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 5: AUTHORIZES BONDS TO CONTINUE FUNDING STEM CELL AND OTHER MEDICAL RESEARCH. INITIATIVE STATUTE,https://repository.uclawsf.edu/ca_ballot_props/1381,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 6: CHANGES CERTAIN PROPERTY TAX RULES. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,https://repository.uclawsf.edu/ca_ballot_props/1386,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 7: ESTABLISHES STATE REQUIREMENTS FOR KIDNEY DIALYSIS CLINICS. REQUIRES ON-SITE MEDICAL PROFESSIONAL. INITIATIVE STATUTE,https://repository.uclawsf.edu/ca_ballot_props/1390,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 8: EXEMPTS APP-BASED TRANSPORTATION AND DELIVERY COMPANIES FROM PROVIDING EMPLOYEE BENEFITS TO CERTAIN DRIVERS. INITIATIVE STATUTE,https://repository.uclawsf.edu/ca_ballot_props/1391,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2020.0,,Proposition Item 9: EXPANDS LOCAL GOVERNMENTS' AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE,https://repository.uclawsf.edu/ca_ballot_props/1392,,,False,CA_SOS_Scraper,,,,,,,2020.0,21.0,
UC Law SF,2018.0,,Proposition Item 15: Authorizes Bonds Funding Construction at Hospitals Providing Children’s Health Care. Initiative Statute.,https://repository.uclawsf.edu/ca_ballot_props/1370,,,False,CA_SOS_Scraper,,,,,,,2010.0,21.0,
UC Law SF,2018.0,,"Proposition Item 16: AUTHORIZES BONDS FUNDING PARKS, NATURAL RESOURCES PROTECTION, CLIMATE ADAPTATION, WATER QUALITY AND SUPPLY, AND FLOOD PROTECTION",https://repository.uclawsf.edu/ca_ballot_props/1362,,,False,CA_SOS_Scraper,,,,,,,2010.0,21.0,
UC Law SF,2018.0,,Proposition Item 17: Authorizes Bonds to Fund Existing Housing Program for Individuals with Mental Illness. Legislative Statute,https://repository.uclawsf.edu/ca_ballot_props/1368,,,False,CA_SOS_Scraper,,,,,,,2010.0,21.0,
UC Law SF,2018.0,,"Proposition Item 18: Authorizes Bonds to Fund Projects for Water Supply and Quality, Watershed, Fish, Wildlife, Water Conveyance, and Groundwater Sustainability and Storage. Initiative Statute.",https://repository.uclawsf.edu/ca_ballot_props/1369,,,False,CA_SOS_Scraper,,,,,,,2010.0,21.0,
UC Law SF,2018.0,,Proposition Item 19: Authorizes Bonds to Fund Specified Housing Assistance Programs. Legislative Statute.,https://repository.uclawsf.edu/ca_ballot_props/1367,,,False,CA_SOS_Scraper,,,,,,,2010.0,21.0,
UC Law SF,2018.0,,Proposition Item 20: Changes Requirements for Certain Property Owners to Transfer Their Property Tax Base to Replacement Property. Initiative Constitutional Amendment and Statute.,https://repository.uclawsf.edu/ca_ballot_props/1371,,,False,CA_SOS_Scraper,,,,,,,2010.0,21.0,
